epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1422.53,1.16724,1.7992,0.20182,0.82014,1.83083,0.98259,0.625,0.767,0.36533,1,0.74353,0.77435,0.36459,1.62932,2.4006,0.25404,1.05771,2.17145,0.00194258,0.00194258,0.00194258
89,1437.97,1.34413,1.69504,0.17321,0.76172,1.94072,0.98259,0.625,0.767,0.36533,1,0.74353,0.77435,0.36459,1.62932,2.4006,0.25404,1.05771,2.17145,0.00194192,0.00194192,0.00194192
90,1453.41,1.06784,1.68268,0.18692,0.66342,1.83786,0.63669,0.66006,0.69462,0.30181,0.63669,0.66006,0.7008,0.36827,1.79571,2.4836,0.22421,1.0649,2.40124,0.00194126,0.00194126,0.00194126
91,1468.73,1.24812,1.87051,0.18666,0.72009,1.89824,0.63669,0.66006,0.69462,0.30181,0.63669,0.66006,0.7008,0.36827,1.79571,2.4836,0.22421,1.0649,2.40124,0.0019406,0.0019406,0.0019406
92,1484.06,1.21604,1.92209,0.25982,0.94501,1.89698,0.63669,0.66006,0.69462,0.30181,0.63669,0.66006,0.7008,0.36827,1.79571,2.4836,0.22421,1.0649,2.40124,0.00193994,0.00193994,0.00193994
93,1499.31,1.2483,1.77251,0.24394,0.73995,1.89242,0.63669,0.66006,0.69462,0.30181,0.63669,0.66006,0.7008,0.36827,1.79571,2.4836,0.22421,1.0649,2.40124,0.00193928,0.00193928,0.00193928
94,1514.92,1.09308,1.85304,0.24386,0.67357,1.79627,0.97999,0.75,0.75546,0.38376,0.97999,0.75,0.745,0.4299,1.75856,2.14683,0.1499,0.82458,2.30884,0.00193862,0.00193862,0.00193862
95,1530.27,1.06154,1.80525,0.1552,0.63779,1.79567,0.97999,0.75,0.75546,0.38376,0.97999,0.75,0.745,0.4299,1.75856,2.14683,0.1499,0.82458,2.30884,0.00193796,0.00193796,0.00193796
96,1545.95,1.18362,1.61159,0.2305,0.74516,1.84115,0.97999,0.75,0.75546,0.38376,0.97999,0.75,0.745,0.4299,1.75856,2.14683,0.1499,0.82458,2.30884,0.0019373,0.0019373,0.0019373
97,1561.22,0.99599,1.75833,0.2053,0.86065,1.65383,0.97999,0.75,0.75546,0.38376,0.97999,0.75,0.745,0.4299,1.75856,2.14683,0.1499,0.82458,2.30884,0.00193664,0.00193664,0.00193664
98,1577.02,1.13122,1.81692,0.20993,0.70774,1.86712,0.98712,0.75,0.82083,0.32438,0.95869,0.625,0.625,0.33614,1.84235,2.43437,0.15921,0.87886,2.69083,0.00193598,0.00193598,0.00193598
99,1595.88,1.24334,1.96278,0.16997,0.7201,1.96749,0.98712,0.75,0.82083,0.32438,0.95869,0.625,0.625,0.33614,1.84235,2.43437,0.15921,0.87886,2.69083,0.00193532,0.00193532,0.00193532
100,1616.73,1.24732,1.64414,0.15885,0.67988,1.98194,0.98712,0.75,0.82083,0.32438,0.95869,0.625,0.625,0.33614,1.84235,2.43437,0.15921,0.87886,2.69083,0.00193466,0.00193466,0.00193466
101,1634.1,1.39466,1.60117,0.16369,0.72548,2.08506,0.98712,0.75,0.82083,0.32438,0.95869,0.625,0.625,0.33614,1.84235,2.43437,0.15921,0.87886,2.69083,0.001934,0.001934,0.001934
102,1652.62,1.24545,1.57631,0.18878,0.73298,1.90504,0.83326,0.75,0.74471,0.36189,1,0.60765,0.63912,0.26201,1.70927,2.83684,0.20308,0.95622,2.34896,0.00193334,0.00193334,0.00193334
103,1668.29,1.00049,2.00515,0.21031,0.65829,1.80451,0.83326,0.75,0.74471,0.36189,1,0.60765,0.63912,0.26201,1.70927,2.83684,0.20308,0.95622,2.34896,0.00193268,0.00193268,0.00193268
104,1683.82,1.1884,1.6752,0.18585,0.67623,1.96158,0.83326,0.75,0.74471,0.36189,1,0.60765,0.63912,0.26201,1.70927,2.83684,0.20308,0.95622,2.34896,0.00193202,0.00193202,0.00193202
105,1699.56,1.30607,1.91373,0.16252,0.76852,1.9934,0.83326,0.75,0.74471,0.36189,1,0.60765,0.63912,0.26201,1.70927,2.83684,0.20308,0.95622,2.34896,0.00193136,0.00193136,0.00193136
106,1714.9,1.06701,1.94822,0.15693,0.64989,1.8071,1,0.60342,0.673,0.20461,0.96365,0.375,0.375,0.275,2.27032,2.93929,0.36931,1.91734,2.66849,0.0019307,0.0019307,0.0019307
107,1730.42,1.09425,1.98704,0.19179,0.71827,1.83501,1,0.60342,0.673,0.20461,0.96365,0.375,0.375,0.275,2.27032,2.93929,0.36931,1.91734,2.66849,0.00193004,0.00193004,0.00193004
108,1745.63,1.20382,1.98268,0.23105,0.73315,1.88473,1,0.60342,0.673,0.20461,0.96365,0.375,0.375,0.275,2.27032,2.93929,0.36931,1.91734,2.66849,0.00192938,0.00192938,0.00192938
109,1760.91,1.23818,2.04582,0.15135,0.80393,1.91065,1,0.60342,0.673,0.20461,0.96365,0.375,0.375,0.275,2.27032,2.93929,0.36931,1.91734,2.66849,0.00192872,0.00192872,0.00192872
110,1776.47,1.32914,1.73667,0.13126,0.75799,2.04731,0.9928,0.875,0.875,0.33723,0.95887,0.625,0.64032,0.40469,1.87853,1.88291,0.11984,0.9779,2.67204,0.00192806,0.00192806,0.00192806
111,1791.63,1.25035,1.86096,0.1254,0.81013,1.85342,0.9928,0.875,0.875,0.33723,0.95887,0.625,0.64032,0.40469,1.87853,1.88291,0.11984,0.9779,2.67204,0.0019274,0.0019274,0.0019274
112,1806.88,1.1521,1.56371,0.13538,0.6955,1.93234,0.9928,0.875,0.875,0.33723,0.95887,0.625,0.64032,0.40469,1.87853,1.88291,0.11984,0.9779,2.67204,0.00192674,0.00192674,0.00192674
113,1822.44,1.19312,1.82289,0.16003,0.66073,1.98849,0.9928,0.875,0.875,0.33723,0.95887,0.625,0.64032,0.40469,1.87853,1.88291,0.11984,0.9779,2.67204,0.00192608,0.00192608,0.00192608
114,1837.75,1.4058,1.64925,0.10134,0.76129,2.25541,0.82266,0.625,0.63872,0.19521,0.98819,0.75,0.82083,0.40367,2.44958,2.16967,0.08612,1.16986,4.11395,0.00192542,0.00192542,0.00192542
115,1852.99,1.01187,1.88345,0.14591,0.70381,1.77192,0.82266,0.625,0.63872,0.19521,0.98819,0.75,0.82083,0.40367,2.44958,2.16967,0.08612,1.16986,4.11395,0.00192476,0.00192476,0.00192476
116,1868.81,1.37431,1.94632,0.20073,0.81474,2.09095,0.82266,0.625,0.63872,0.19521,0.98819,0.75,0.82083,0.40367,2.44958,2.16967,0.08612,1.16986,4.11395,0.0019241,0.0019241,0.0019241
117,1884.09,1.55039,1.73946,0.13214,0.80601,2.18065,0.82266,0.625,0.63872,0.19521,0.98819,0.75,0.82083,0.40367,2.44958,2.16967,0.08612,1.16986,4.11395,0.00192344,0.00192344,0.00192344
118,1899.5,1.12097,1.95179,0.22372,0.73227,1.83387,0.85587,0.74332,0.68319,0.21784,1,0.60633,0.64682,0.4144,2.36016,2.17321,0.09065,1.0807,3.72661,0.00192278,0.00192278,0.00192278
