epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,387.114,0.86107,2.3298,0.57108,0.52269,1.38228,0.84736,0.75,0.72248,0.40432,0.84736,0.75,0.70929,0.15944,1.51312,3.34896,0.55533,0.79146,2.353,0.0008912,0.0008912,0.0008912
58,393.951,0.60336,2.22175,0.56577,0.48671,1.21394,0.9421,0.75,0.77638,0.42246,0.77703,0.625,0.54167,0.18651,1.44736,3.29952,0.57843,0.8059,2.23247,0.0008714,0.0008714,0.0008714
59,401.689,0.82024,2.40527,0.56428,0.54721,1.49206,0.9421,0.75,0.77638,0.42246,0.77703,0.625,0.54167,0.18651,1.44736,3.29952,0.57843,0.8059,2.23247,0.0008516,0.0008516,0.0008516
60,408.165,0.67005,2.36916,0.55556,0.53057,1.32597,0.9421,0.75,0.77638,0.42246,0.77703,0.625,0.54167,0.18651,1.44736,3.29952,0.57843,0.8059,2.23247,0.0008318,0.0008318,0.0008318
61,414.852,0.82231,2.4439,0.56153,0.58204,1.40263,0.9421,0.75,0.77638,0.42246,0.77703,0.625,0.54167,0.18651,1.44736,3.29952,0.57843,0.8059,2.23247,0.000812,0.000812,0.000812
62,421.681,0.84479,2.32835,0.56172,0.51109,1.52168,0.95189,0.75,0.745,0.4555,0.79126,0.625,0.52083,0.14945,1.42691,3.25804,0.58199,0.74428,2.16578,0.0007922,0.0007922,0.0007922
63,428.236,0.88518,2.49524,0.57973,0.50807,1.45982,0.95189,0.75,0.745,0.4555,0.79126,0.625,0.52083,0.14945,1.42691,3.25804,0.58199,0.74428,2.16578,0.0007724,0.0007724,0.0007724
64,435.505,0.74135,2.32546,0.5672,0.50815,1.32339,0.95189,0.75,0.745,0.4555,0.79126,0.625,0.52083,0.14945,1.42691,3.25804,0.58199,0.74428,2.16578,0.0007526,0.0007526,0.0007526
65,442.493,0.71335,2.33233,0.59048,0.48324,1.34335,0.95189,0.75,0.745,0.4555,0.79126,0.625,0.52083,0.14945,1.42691,3.25804,0.58199,0.74428,2.16578,0.0007328,0.0007328,0.0007328
66,449.145,0.86314,2.34038,0.56878,0.47239,1.39616,0.99142,0.75,0.745,0.47834,0.825,0.625,0.52083,0.20864,1.38718,3.11097,0.56972,0.8096,2.13577,0.000713,0.000713,0.000713
67,455.978,0.91482,2.20813,0.56551,0.48615,1.42486,0.99142,0.75,0.745,0.47834,0.825,0.625,0.52083,0.20864,1.38718,3.11097,0.56972,0.8096,2.13577,0.0006932,0.0006932,0.0006932
